sn  hostname    ip  batch   idc status
6CU330200Y  xen-a0y2206-239-b.zue   10.214.176.80   zue-1128台B2    ZUE 

6CU330200Z  xen-a0y2207-239-b.zue   10.214.176.81   zue-1128台B2    ZUE 

6CU3302010  xen-a0y2208-239-b.zue   10.214.176.82   zue-1128台B2    ZUE 

6CU3302011  xen-a0y2209-239-b.zue   10.214.176.83   zue-1128台B2    ZUE 

6CU3302012  xen-a0y2210-239-b.zue   10.214.176.84   zue-1128台B2    ZUE 

6CU3302013  xen-a0y2211-239-b.zue   10.214.176.85   zue-1128台B2    ZUE 

6CU3302014  xen-a0y2212-239-b.zue   10.214.176.86   zue-1128台B2    ZUE 

6CU3302015  xen-a0y2213-239-b.zue   10.214.176.87   zue-1128台B2    ZUE 

6CU3302016  xen-a0y2214-239-b.zue   10.214.176.88   zue-1128台B2    ZUE 

6CU3302017  xen-a0y2215-239-b.zue   10.214.176.89   zue-1128台B2    ZUE 

6CU3302018  xen-a0y2216-239-b.zue   10.214.176.90   zue-1128台B2    ZUE 

6CU3302019  xen-a0y2217-239-b.zue   10.214.176.91   zue-1128台B2    ZUE 

